id,state,fips,county,county_seat,population,land_area_km2,land_area_mi2,water_area_km2,water_area_mi2,total_area_km,total_area_mi2,latitude,longitude,conus,geometry
166,AR,5109,Pike,Murfreesboro,11291,1555.592,600.618,34.996,13.512,1590.588,614.13,34.158190999999995,-93.658659,True,POINT (-93.658659 34.158191)
167,AR,5111,Poinsett,Harrisburg,24583,1964.2179999999998,758.3889999999999,13.523,5.221,1977.74,763.61,35.568981,-90.680595,True,POINT (-90.680595 35.568981)
168,AR,5113,Polk,Mena,20662,2221.3779999999997,857.679,12.387,4.783,2233.765,862.462,34.490915,-94.230884,True,POINT (-94.230884 34.490915)
169,AR,5115,Pope,Russellville,61754,2104.491,812.548,47.207,18.227,2151.697,830.775,35.455296999999995,-93.03153499999999,True,POINT (-93.03153499999999 35.45529699999999)
170,AR,5117,Prairie,"Des Arc, De Valls Bluff",8715,1678.204,647.9580000000001,71.62899999999999,27.656,1749.8329999999999,675.6139999999999,34.828225,-91.5572,True,POINT (-91.55719999999999 34.828225)
171,AR,5119,Pulaski,Little Rock,382748,1967.777,759.763,124.06200000000001,47.9,2091.839,807.663,34.773988,-92.316515,True,POINT (-92.316515 34.773988)
172,AR,5121,Randolph,Pocahontas,17969,1689.1660000000002,652.191,9.968,3.8489999999999998,1699.134,656.04,36.341299,-91.028441,True,POINT (-91.028441 36.341299)
173,AR,5123,St. Francis,Forrest City,28258,1644.049,634.771,20.05,7.7410000000000005,1664.099,642.512,35.014438,-90.742199,True,POINT (-90.742199 35.014438)
174,AR,5125,Saline,Benton,107118,1874.125,723.6039999999999,17.836,6.886,1891.96,730.49,34.648525,-92.674463,True,POINT (-92.674463 34.648525)
175,AR,5127,Scott,Waldron,11233,2311.098,892.32,14.901,5.752999999999999,2325.999,898.073,34.858869,-94.063641,True,POINT (-94.063641 34.858869)
176,AR,5129,Searcy,Marshall,8195,1725.1770000000001,666.095,6.257000000000001,2.416,1731.434,668.5110000000001,35.909659999999995,-92.69935100000001,True,POINT (-92.69935100000001 35.90966)
177,AR,5131,Sebastian,"Greenwood, Fort Smith",125744,1377.644,531.911,36.906,14.249,1414.549,546.16,35.196981,-94.274989,True,POINT (-94.27498900000001 35.196981)
178,AR,5133,Sevier,De Queen,17058,1463.67,565.126,41.831,16.151,1505.501,581.2769999999999,33.994608,-94.24329,True,POINT (-94.24329 33.994608)
179,AR,5135,Sharp,Ash Flat,17264,1565.489,604.439,5.172999999999999,1.9969999999999999,1570.662,606.436,36.173398999999996,-91.471069,True,POINT (-91.471069 36.173399)
180,AR,5137,Stone,Mountain View,12394,1570.5810000000001,606.405,7.8389999999999995,3.0269999999999997,1578.42,609.432,35.856989,-92.14049399999999,True,POINT (-92.14049399999999 35.856989)
181,AR,5139,Union,El Dorado,41639,2691.553,1039.214,41.402,15.985,2732.954,1055.1989999999998,33.168219,-92.598145,True,POINT (-92.598145 33.168219)
182,AR,5141,Van Buren,Clinton,17295,1834.082,708.143,41.806000000000004,16.141,1875.888,724.284,35.582959,-92.515977,True,POINT (-92.51597700000001 35.582959)
183,AR,5143,Washington,Fayetteville,203065,2439.6820000000002,941.966,27.046999999999997,10.443,2466.729,952.409,35.971209,-94.218417,True,POINT (-94.218417 35.971209)
184,AR,5145,White,Searcy,77076,2680.833,1035.075,18.311,7.07,2699.1440000000002,1042.145,35.254721999999994,-91.753158,True,POINT (-91.753158 35.25472199999999)
185,AR,5147,Woodruff,Augusta,7260,1519.781,586.7909999999999,18.708,7.223,1538.489,594.014,35.189071000000006,-91.24441800000001,True,POINT (-91.24441800000001 35.18907100000001)
186,AR,5149,Yell,"Dardanelle, Danville",22185,2408.647,929.9839999999999,48.88,18.873,2457.528,948.857,34.997713,-93.408303,True,POINT (-93.408303 34.997713)
187,CA,6001,Alameda,Oakland,1510271,1914.046,739.0169999999999,213.185,82.311,2127.231,821.328,37.648081,-121.91330400000001,True,POINT (-121.913304 37.648081)
188,CA,6003,Alpine,Markleeville,1175,1912.2720000000002,738.332,12.557,4.848,1924.829,743.18,38.61761,-119.798999,True,POINT (-119.798999 38.61761)
189,CA,6005,Amador,Jackson,38091,1539.963,594.5830000000001,29.456999999999997,11.373,1569.42,605.956,38.44355,-120.653856,True,POINT (-120.653856 38.44355)
190,CA,6007,Butte,Oroville,220000,4238.423,1636.464,105.32600000000001,40.667,4343.749,1677.131,39.665959,-121.601919,True,POINT (-121.601919 39.665959)
191,CA,6009,Calaveras,San Andreas,45578,2641.82,1020.012,43.81,16.915,2685.63,1036.927,38.187844,-120.55511499999999,True,POINT (-120.555115 38.187844)
192,CA,6011,Colusa,Colusa,21419,2980.3790000000004,1150.731,14.581,5.63,2994.96,1156.361,39.177739,-122.237563,True,POINT (-122.237563 39.177739)
193,CA,6013,Contra Costa,Martinez,1049025,1854.269,715.937,227.485,87.833,2081.754,803.77,37.919478999999995,-121.95154299999999,True,POINT (-121.951543 37.919479)
194,CA,6015,Del Norte,Crescent City,28610,2606.494,1006.373,578.526,223.37,3185.02,1229.743,41.749903,-123.980998,True,POINT (-123.980998 41.749903)
195,CA,6017,El Dorado,Placerville,181058,4423.397,1707.8829999999998,203.243,78.473,4626.64,1786.356,38.785532,-120.534398,True,POINT (-120.534398 38.785532)
196,CA,6019,Fresno,Fresno,930450,15431.126,5957.991,137.816,53.211000000000006,15568.942,6011.201999999999,36.761006,-119.655019,True,POINT (-119.655019 36.761006)
197,CA,6021,Glenn,Willows,28122,3403.107,1313.9470000000001,33.75,13.030999999999999,3436.857,1326.9779999999998,39.602546000000004,-122.4017,True,POINT (-122.4017 39.602546)
198,CA,6023,Humboldt,Eureka,134623,9241.045,3567.987,1254.256,484.27099999999996,10495.301000000001,4052.258,40.706672999999995,-123.92581799999999,True,POINT (-123.925818 40.70667299999999)
199,CA,6025,Imperial,El Centro,174528,10817.353000000001,4176.603,790.248,305.116,11607.6,4481.719,33.040816,-115.355395,True,POINT (-115.355395 33.040816)
200,CA,6027,Inyo,Independence,18546,26368.354,10180.879,119.208,46.026,26487.562,10226.905,36.561977,-117.403927,True,POINT (-117.403927 36.561977)
201,CA,6029,Kern,Bakersfield,839631,21061.565,8131.916,79.577,30.725,21141.142000000003,8162.641,35.346629,-118.729506,True,POINT (-118.729506 35.346629)
202,CA,6031,Kings,Hanford,152982,3598.5820000000003,1389.42,5.468999999999999,2.1109999999999998,3604.051,1391.531,36.072478000000004,-119.81553000000001,True,POINT (-119.81553 36.072478)
203,CA,6033,Lake,Lakeport,64665,3254.228,1256.464,188.96200000000002,72.959,3443.19,1329.4229999999998,39.094802,-122.746757,True,POINT (-122.746757 39.094802)
